URL,Title,Price,Specs,Description,Categories
https://kajalnaina.com/product/projectsdiamondpendantwithrosegoldnecklace/,Project S Diamond Pendant with Rose Gold Necklace – Kajal Naina,US$333,N/A,PendantNecklace,Luminous
https://kajalnaina.com/product/pushpa-diamond-mangalsutra-without-pearl/,Pushpa Diamond Mangalsutra without Pearl – Kajal Naina,"US$1,133US$1,133US$1,148US$1,075US$1,203US$1,050",N/A,*Above figures are approximately measured.,Uncategorized
https://kajalnaina.com/product/rose-diamond-earrings/,Buy 14K Gold Rose Diamond Earrings Online | Kajal Naina,N/A,"• 14K Gold
• Round Brilliant Diamonds 0.694ct",Simple yet head-turning diamond earrings for women who’s the idea of style is effortless elegance.,"Chic, Ear Ring, Earring, Fleur, Jewelries, Select By Collection, Select By Type"
https://kajalnaina.com/product/rubydiamondkalashpendant/,Ruby & Diamond Kalash Pendant – Kajal Naina,US$625,"• 18K Yellow Gold 2.06g
• Ruby 0.07ct
• Round Brilliant Diamonds 0.17ct
• Pendant Size: 32mm","Growing up, I have always seen a Kalash in everything Auspicious. Mornings at home which started with my dear Grandma performing Puja with flower petals dipped inside the Kalash. A refreshing memory from my childhood days and as I grew older I saw it was kept up by my mom. A Kalash was there in the Puja thali when I was going to study in India for my higher studies to wish me good luck.  There when I got married and left my house… and there when I was embraced and welcomed into my new home. Actually, it is there in everything auspicious and somehow reaffirms all our thoughts and decisions and makes us believe in ourselves and the spirit of a higher being that protects us.Little things and objects, small gestures, even words used… I realise they unknowingly give us strength, kept us going. So how can I not be inspired to design something that incorporates the same positivity in your life as it did in mine.If you are able to relate to any of those precious moments when a Kalash has been and continues to be a part of your life… when somebody who cared about you held a Puja thali and blessed you with all their will, and one day you find ourself doing the same, this special jewel is for you.Made in solid Gold and Diamonds to create a positive aura and definitely a conversation started with your next great friend.",Uncategorized
https://kajalnaina.com/product/sanu-baguette-diamond-ring-2/,Sanu Baguette Diamond Ring | Kajal Naina,N/A,"• 14K Gold 2.30g
• Baguette Diamonds G/H 0.72ct",Tapered Baguette Diamond studded gold ring with a contemporary look to style along side your favorite statement rings for ultimate accessorizing. Use it alone or in stacks with your other rings and it will elevate your look anyway.,"Chic, Ring, Select By Collection, Select By Type"
https://kajalnaina.com/product/shining-star-chandelier-earrings/,Shining Star Chandelier Earrings | Kajal Naina,"US$2,685","• 14K Gold
• Round Brilliant Diamond G/H Vs-Si 0.432ct
• Freshwater Pearl",Special occasions are meant to bring out your special pieces and this earring will certainly make you shine. The cascading white pearls form a beautiful combination with the twinkling stars to create this spectacular chandelier earring.,"Earring, Pearls, Select By Collection, Select By Type, Shining Star"
https://kajalnaina.com/product/shining-star-with-tahitian-pearl-ear-danglers/,Shining Star with Tahitian Pearl Ear Danglers | Kajal Naina,US$649,"• 14K Yellow Gold
• Round Brilliant Diamonds G/H Si
• AAA+ Tahitian Pearl",The shining star Collection has been re-imagined with glistening and exotic Natural Tahitian pearls.Each pearl has been handpicked by us from thousands to give you the best value for your money.,"Earring, Pearls, Select By Collection, Select By Type, Shining Star"
https://kajalnaina.com/product/sierramangalsutra/,Sierra Mangalsutra – Kajal Naina,"US$1,358",N/A,empty:,Mothers Day 2025 Mangalsutra
https://kajalnaina.com/product/black-friday-singapura-splash-earrings/,Singapura Splash Earrings – Kajal Naina,US$691,"• 18K Yellow Gold 1.2g
• Chrysoprases 8mm",In the garden there was a beautiful big green pond. It was actually quite large with fishes and turtles swimming around. The children loved to spend time around the pond. Create your own splash with this Chrysoprase earring.,"Colours, Earring, Select By Collection, Select By Type, Singapura"
https://kajalnaina.com/product/sparkle-pearl-earrings/,Sparkle Pearl Earrings | 14K Gold & Diamonds | Kajal Naina,N/A,"• 14K Gold 4.19gms
• Round Brilliant Diamonds 0.179ct
• AAA+ Freshwater Pearls 4-7mm",empty:,"Earring, Mothers Day, Mothers Day Pearl Special, New In, Pearls, Select By Collection, Select By Type"
